aX,aY,aZ,gX,gY,gZ
-0.921,0.852,-0.066,0.910,5.110,29.120
-0.901,0.848,-0.059,1.610,4.760,36.750
-0.874,0.841,-0.065,2.100,3.920,43.470
-0.840,0.845,-0.065,1.610,3.290,51.310
-0.800,0.852,-0.072,0.630,2.940,56.910
-0.764,0.858,-0.075,-0.770,2.870,62.090
-0.734,0.852,-0.079,-2.170,2.730,65.870
-0.705,0.834,-0.082,-3.360,2.870,69.370
-0.669,0.828,-0.079,-4.620,2.870,71.470
-0.639,0.832,-0.075,-5.950,2.940,73.640
-0.623,0.835,-0.076,-7.070,2.870,75.740
-0.612,0.843,-0.071,-8.190,2.730,79.310
-0.602,0.840,-0.068,-8.610,2.660,82.250
-0.606,0.847,-0.065,-8.750,2.380,84.910
-0.603,0.850,-0.063,-8.680,2.030,87.430
-0.601,0.850,-0.065,-8.680,2.100,90.650
-0.596,0.853,-0.063,-9.030,2.170,92.330
-0.579,0.860,-0.056,-9.380,2.170,94.080
-0.563,0.864,-0.052,-9.800,2.100,95.410
-0.554,0.885,-0.044,-9.870,2.170,97.650
-0.540,0.895,-0.040,-9.660,2.310,98.980
-0.531,0.896,-0.044,-9.520,2.520,100.240
-0.524,0.899,-0.036,-9.590,2.800,101.780
-0.507,0.906,-0.032,-9.730,2.730,102.480
-0.488,0.918,-0.035,-10.150,2.800,103.460
-0.472,0.926,-0.039,-10.430,3.010,104.510
-0.463,0.937,-0.032,-10.570,3.010,105.350
-0.452,0.935,-0.033,-11.130,2.940,106.610
-0.443,0.942,-0.034,-11.270,2.800,107.870
-0.427,0.952,-0.032,-11.760,2.240,108.990
-0.407,0.956,-0.034,-11.970,2.030,110.320
-0.393,0.958,-0.038,-12.110,1.540,111.440
-0.378,0.959,-0.033,-11.970,1.120,112.980
-0.365,0.950,-0.031,-11.480,0.560,113.470
-0.342,0.939,-0.030,-10.640,0.070,113.610
-0.317,0.950,-0.012,-9.870,-0.770,114.100
-0.287,0.960,-0.015,-9.660,-1.540,114.660
-0.270,0.947,-0.028,-8.890,-1.610,114.240
-0.259,0.915,-0.017,-8.470,-2.450,112.140
-0.237,0.917,0.002,-7.420,-3.430,109.550
-0.203,0.944,-0.124,-5.740,-4.130,107.310
-0.179,0.969,-0.006,-4.830,-4.340,105.770
-0.169,0.965,-0.026,-5.530,-4.550,104.090
-0.150,0.969,-0.013,-7.350,-5.390,103.530
-0.110,0.990,-0.005,-8.400,-5.810,102.060
-0.093,0.973,-0.021,-7.980,-5.600,100.100
-0.083,0.947,-0.010,-7.420,-5.390,97.790
-0.069,0.928,-0.009,-6.930,-5.250,95.060
-0.035,0.928,-0.009,-6.580,-5.040,92.120
-0.014,0.951,-0.001,-6.790,-4.690,88.620
0.005,0.955,-0.009,-6.790,-4.060,85.890
0.020,0.956,-0.019,-7.350,-3.080,82.880
0.026,0.951,-0.013,-7.910,-2.660,79.450
0.039,0.938,-0.013,-8.540,-2.240,74.550
0.056,0.925,-0.002,-8.120,-1.890,70.700
0.073,0.928,0.003,-7.140,-1.540,66.570
0.085,0.936,0.004,-5.600,-1.260,60.900
0.090,0.935,-0.004,-4.760,-1.120,56.560
0.092,0.939,-0.008,-4.690,-0.700,52.010
0.091,0.935,-0.008,-4.900,-0.700,47.810
0.098,0.928,-0.000,-4.550,-0.840,41.580
0.107,0.924,0.006,-3.360,-0.910,36.610
0.112,0.923,0.007,-2.240,-1.120,32.060
0.115,0.933,0.006,-1.470,-1.400,27.720
0.124,0.947,0.003,-0.980,-1.540,23.030
0.125,0.954,-0.001,-0.630,-1.820,19.530
0.119,0.951,0.000,-0.420,-2.100,16.240
0.115,0.944,0.001,0.000,-2.800,13.230
0.114,0.945,0.002,0.980,-3.220,10.080
0.110,0.944,0.002,1.960,-3.850,6.930
0.111,0.952,-0.005,3.010,-4.480,3.220
0.108,0.969,-0.007,3.360,-4.690,1.190
0.108,0.980,-0.009,3.150,-4.830,-0.630
0.102,0.986,-0.011,2.870,-5.320,-2.590
0.096,0.986,-0.010,2.870,-5.530,-4.900
0.092,0.990,-0.012,3.010,-5.600,-6.510
0.090,0.996,-0.009,3.010,-5.670,-7.700
0.088,1.005,-0.013,2.800,-5.810,-8.960
0.080,1.007,-0.012,2.380,-5.950,-9.800
0.077,1.006,-0.010,2.310,-6.020,-10.920
0.075,1.006,-0.010,2.380,-6.020,-11.970
0.073,1.010,-0.019,2.240,-5.880,-12.670
0.068,1.016,-0.020,1.610,-5.670,-13.020
0.065,1.028,-0.023,0.560,-5.250,-13.090
0.061,1.030,-0.024,-0.350,-5.110,-13.090
0.057,1.029,-0.021,-0.980,-4.760,-13.160
0.051,1.027,-0.018,-1.400,-4.410,-12.880
0.045,1.023,-0.019,-1.330,-4.340,-12.810
0.044,1.026,-0.014,-1.750,-4.410,-12.390
0.035,1.028,-0.015,-1.610,-4.130,-11.830
0.031,1.024,-0.013,-1.540,-4.200,-11.340
0.027,1.017,-0.010,-1.190,-4.130,-10.920
0.026,1.023,-0.008,-1.190,-4.060,-10.570
0.022,1.029,-0.011,-1.120,-3.990,-10.010
0.017,1.035,-0.014,-1.680,-3.780,-9.310
0.018,1.036,-0.014,-1.750,-3.290,-8.820
0.018,1.032,-0.012,-1.890,-2.870,-8.330
0.014,1.022,-0.014,-1.820,-2.380,-7.630
0.008,1.023,-0.012,-1.470,-2.240,-7.420
0.007,1.025,-0.009,-1.190,-1.610,-6.930
0.000,1.026,-0.012,-0.910,-1.400,-6.020
-0.572,0.911,-0.090,20.090,-11.620,-205.100
-0.680,0.997,-0.126,14.070,-9.870,-185.710
-0.773,1.043,-0.144,6.720,-7.910,-168.770
-0.861,1.022,-0.141,3.150,-5.530,-151.970
-0.950,0.984,-0.115,1.750,-3.850,-136.500
-0.992,0.946,-0.097,2.100,-2.450,-117.600
-1.019,0.906,-0.089,2.380,-1.260,-104.230
-1.059,0.900,-0.080,2.730,0.210,-90.440
-1.094,0.900,-0.076,2.800,1.470,-76.440
-1.127,0.906,-0.078,3.150,2.380,-58.240
-1.157,0.893,-0.081,3.710,3.080,-44.800
-1.172,0.887,-0.081,4.270,3.360,-32.480
-1.170,0.876,-0.085,4.830,3.640,-20.650
-1.152,0.865,-0.086,5.180,3.710,-6.020
-1.128,0.850,-0.087,5.040,3.640,4.200
-1.088,0.844,-0.086,4.620,3.500,13.720
-1.053,0.833,-0.089,4.410,3.290,22.750
-1.022,0.820,-0.086,3.850,2.590,34.020
-0.989,0.811,-0.083,3.850,2.100,41.300
-0.953,0.801,-0.083,3.850,0.840,47.810
-0.902,0.795,-0.081,3.430,-0.070,53.620
-0.857,0.795,-0.085,2.730,-0.910,59.150
-0.820,0.795,-0.085,1.680,-1.540,65.800
-0.783,0.794,-0.091,0.840,-2.310,70.140
-0.627,0.793,-0.086,0.000,-3.080,73.850
-0.709,0.790,-0.087,-0.700,-3.290,77.420
-0.691,0.782,-0.091,-1.400,-3.290,81.480
-0.680,0.782,-0.091,-1.890,-3.500,83.790
-0.660,0.782,-0.089,-2.380,-3.290,85.750
-0.648,0.789,-0.086,-2.870,-2.940,88.200
-0.631,0.796,-0.085,-3.360,-2.730,89.740
-0.621,0.808,-0.084,-3.850,-1.960,91.210
-0.609,0.825,-0.086,-4.620,-1.330,92.890
-0.604,0.837,-0.087,-6.160,-0.630,95.060
-0.601,0.848,-0.083,-7.490,0.000,96.740
-0.597,0.862,-0.073,-8.750,0.840,98.770
-0.589,0.886,-0.068,-10.150,1.190,101.220
-0.588,0.905,-0.069,-11.620,1.610,105.140
-0.589,0.916,-0.069,-12.600,2.100,108.570
-0.582,0.918,-0.067,-13.510,2.730,111.720
