aX,aY,aZ,gX,gY,gZ
0.439,0.628,0.832,-35.210,37.870,-147.350
0.468,0.898,0.750,-26.600,23.240,-136.710
0.508,1.100,0.682,-13.440,7.980,-114.380
0.581,1.330,0.547,7.560,-3.150,-93.660
0.604,1.354,0.427,24.360,-11.130,-75.600
0.618,1.265,0.271,37.030,-15.680,-64.540
0.583,1.142,0.169,42.490,-12.040,-59.220
0.564,0.888,0.117,41.720,-3.990,-57.050
0.531,0.881,0.143,32.480,5.670,-59.010
0.495,0.794,0.195,19.880,14.840,-62.650
0.468,0.701,0.371,8.470,23.870,-69.650
0.413,0.623,0.355,-2.520,26.320,-78.680
0.402,0.586,0.432,-10.150,25.620,-87.850
0.370,0.583,0.443,-13.020,22.260,-99.400
0.353,0.604,0.441,-8.890,19.180,-106.750
0.361,0.740,0.458,-5.810,11.760,-108.430
0.398,0.940,0.361,-0.140,8.610,-101.710
0.444,1.092,0.257,14.630,8.540,-87.780
0.451,1.174,0.225,20.930,7.980,-78.190
0.452,1.183,0.187,24.850,8.470,-69.930
0.443,1.145,0.158,25.970,12.670,-64.470
0.431,1.110,0.194,26.110,16.450,-59.290
0.421,1.092,0.244,21.700,20.860,-54.180
0.408,1.053,0.301,7.140,25.060,-48.580
0.370,0.975,0.336,-2.520,28.140,-47.810
0.355,0.916,0.418,-9.100,27.790,-48.090
0.330,0.878,0.519,-14.140,23.800,-49.910
0.321,0.868,0.561,-18.130,17.290,-51.450
0.320,0.901,0.550,-18.130,10.850,-50.890
0.322,0.947,0.502,-16.100,5.740,-48.720
0.314,0.970,0.407,-10.850,0.560,-46.970
0.322,1.004,0.324,-2.520,-0.630,-43.400
0.354,1.232,0.280,6.650,-0.770,-31.710
0.370,1.203,0.241,15.190,0.560,-21.770
0.365,1.179,0.224,17.500,3.010,-14.420
0.352,1.129,0.233,17.360,6.510,-9.660
0.329,1.057,0.264,15.120,9.310,-7.490
0.311,1.001,0.313,10.640,10.710,-7.140
0.284,0.893,0.325,4.760,11.900,-11.200
