aX,aY,aZ,gX,gY,gZ
-0.316,1.219,-0.026,-14.280,11.270,129.430
-0.313,1.200,-0.022,-14.840,11.270,138.670
-0.288,1.178,-0.020,-15.470,10.920,149.660
-0.259,1.159,-0.019,-16.030,10.850,157.290
-0.236,1.148,-0.013,-16.660,10.010,164.640
-0.199,1.136,-0.008,-17.430,9.730,171.220
-0.174,1.106,-0.005,-35.840,9.100,178.290
-0.141,1.068,-0.004,-18.200,8.540,181.930
-0.103,1.043,0.001,-18.340,7.490,184.800
-0.045,1.022,0.009,-18.480,6.720,187.180
-0.011,1.001,0.017,-18.410,5.600,188.790
0.019,0.957,0.016,-17.150,5.040,189.560
0.049,0.915,0.017,-15.680,4.620,188.510
0.086,0.876,0.013,-14.840,4.130,186.760
0.163,0.874,0.020,-14.840,3.220,184.730
0.195,0.848,0.017,-14.630,3.080,182.070
0.209,0.803,0.025,-14.140,2.450,178.010
0.249,0.769,0.034,-12.670,1.820,170.660
0.297,0.729,0.043,-9.870,1.540,163.380
0.335,0.708,0.053,-7.910,1.190,154.840
0.390,0.699,0.059,-6.720,0.070,145.600
0.439,0.704,0.069,-5.950,-0.700,135.450
0.484,0.708,0.076,-5.250,-1.260,124.950
0.532,0.713,0.075,-4.830,-1.610,111.580
0.573,0.707,0.073,-4.900,-2.100,101.570
0.593,0.687,0.074,-5.110,-2.660,91.840
0.620,0.674,0.074,-5.040,-3.360,81.760
0.652,0.673,0.075,-4.830,-3.850,69.230
0.685,0.676,0.073,-4.550,-3.990,60.340
0.704,0.673,0.071,-4.690,-4.410,51.800
0.715,0.659,0.066,-4.970,-4.270,43.260
0.733,0.652,0.067,-4.830,-4.270,32.550
